ID,GamePSID,ReleaseYear,Size,is_Digital_game,is_Physical_game
8006,9984,2020.0,487.0,0,0
8007,-4551,0.0,0.0,0,0
8008,11603,2021.0,3194.88,0,0
8009,-4547,0.0,0.0,0,0
8010,4986,2016.0,117.0,0,0
8011,5490,2017.0,0.0,0,0
8012,5020,2017.0,117.0,0,0
8013,4988,2016.0,119.0,0,0
8014,3479,2015.0,192.0,0,0
8015,12625,2021.0,0.0,0,0
8016,13927,2021.0,0.0,0,0
8017,13922,2021.0,0.0,0,0
8018,8586,2019.0,82.0,0,0
8019,8587,2019.0,80.0,0,0
8020,8585,2019.0,84.0,0,0
8021,11568,2021.0,245.0,0,0
8022,11567,2021.0,245.0,0,0
8023,6093,2017.0,5795.84,0,0
8024,7918,2019.0,4423.68,0,0
8025,6133,2017.0,5795.84,0,0
8026,5171,2017.0,4096.0,0,0
8027,5478,2017.0,4096.0,0,0
8028,11352,2020.0,0.0,0,0
8029,12086,2021.0,39.0,0,0
8030,12143,2021.0,39.0,0,0
8031,12085,2021.0,39.0,0,0
8032,12345,2021.0,0.0,0,0
8033,13050,2021.0,60.0,0,0
8034,8425,2019.0,594.0,0,0
8035,8594,2019.0,2467.84,0,0
8036,8595,2019.0,2467.84,0,0
8037,5190,2017.0,341.0,0,0
8038,5677,2017.0,377.0,0,0
8039,11646,2021.0,580.0,0,0
8040,11645,2021.0,580.0,0,0
8041,11798,2021.0,431.0,0,0
8042,11797,2021.0,431.0,0,0
8043,5099,2017.0,11878.4,0,0
8044,4298,2016.0,18944.0,0,0
8045,9173,2019.0,903.0,0,0
8046,9587,2020.0,909.0,0,0
8047,-5277,0.0,0.0,0,0
8048,5418,2017.0,881.0,0,0
8049,7186,2018.0,880.0,0,0
8050,2501,2014.0,1228.8,0,0
8051,2575,0.0,1228.8,0,0
8052,6749,2018.0,29644.8,0,0
8053,4223,2016.0,27648.0,0,0
8054,3971,2016.0,26214.4,0,0
8055,5041,2017.0,17920.0,0,0
8056,4484,2016.0,3891.2,0,0
8057,7514,2018.0,924.0,0,0
8058,9665,2020.0,3092.48,0,0
8059,9048,2019.0,3082.24,0,0
8060,9996,2020.0,3092.48,0,0
8061,8943,2019.0,5601.28,0,0
8062,8942,2019.0,5601.28,0,0
8063,8906,2019.0,5632.0,0,0
8064,-3769,0.0,0.0,0,0
8065,9921,2020.0,3235.84,0,0
8066,9920,2020.0,3235.84,0,0
8067,11194,2020.0,3379.2,0,0
8068,10717,2020.0,3563.52,0,0
8069,10716,2020.0,3563.52,0,0
8070,-5025,0.0,0.0,0,0
8071,6997,2018.0,14551.04,0,0
8072,7989,2019.0,2764.8,0,0
8073,9753,2020.0,19005.44,0,0
8074,10267,2020.0,31385.6,0,0
8075,10266,2020.0,31385.6,0,0
8076,8337,2019.0,2938.88,0,0
8077,-4019,0.0,0.0,0,0
8078,8848,2019.0,3317.76,0,0
8079,9276,2019.0,3317.76,0,0
8080,9796,2020.0,1986.56,0,0
8081,9797,2020.0,1986.56,0,0
8082,10848,2020.0,116.0,0,0
8083,-4629,0.0,0.0,0,0
8084,6377,2017.0,253.0,0,0
8085,9119,2019.0,2263.04,0,0
8086,3417,2015.0,127.0,0,0
8087,2594,2014.0,2457.6,0,0
8088,10193,2020.0,136.0,0,0
8089,13983,2021.0,0.0,0,0
8090,13982,2021.0,0.0,0,0
8091,13981,2021.0,0.0,0,0
8092,11202,2020.0,100.0,0,0
8093,11203,2020.0,99.0,0,0
8094,11247,2020.0,100.0,0,0
8095,11578,2021.0,105.0,0,0
8096,11577,2021.0,105.0,0,0
8097,11579,2021.0,105.0,0,0
8098,4506,2016.0,2560.0,0,0
8099,8534,2019.0,754.0,0,0
8100,5115,2017.0,103.0,0,0
8101,8115,2019.0,1290.24,0,0
8102,7927,2019.0,1310.72,0,0
8103,6481,2018.0,1392.64,0,0
8104,6379,2017.0,1239.04,0,0
8105,6490,2018.0,1392.64,0,0
8106,4230,2017.0,295.0,0,0
8107,4250,2017.0,295.0,0,0
8108,5508,2017.0,4628.48,0,0
8109,4370,2016.0,217.0,0,0
8110,-4244,0.0,0.0,0,0
8111,11359,2020.0,8130.56,0,0
8112,7413,2018.0,521.0,0,0
8113,4640,2016.0,740.0,0,0
8114,5281,2017.0,5621.76,0,0
8115,12190,2021.0,0.0,0,0
8116,12191,2021.0,0.0,0,0
8117,12406,2021.0,0.0,0,0
8118,12407,2021.0,0.0,0,0
8119,4588,2016.0,4526.08,0,0
8120,12437,2021.0,12646.4,0,0
8121,12439,2021.0,12646.4,0,0
8122,13401,2021.0,0.0,0,0
8123,8460,2019.0,872.0,0,0
8124,12920,2021.0,0.0,0,0
8125,6383,2017.0,192.0,0,0
8126,13533,2021.0,0.0,0,0
8127,13309,2021.0,0.0,0,0
8128,13311,2021.0,0.0,0,0
8129,5028,2016.0,2631.68,0,0
8130,11006,2020.0,9256.96,0,0
8131,11055,2020.0,9256.96,0,0
8132,-2221,0.0,0.0,0,0
8133,-335,0.0,0.0,0,0
8134,13875,2021.0,0.0,0,0
8135,10105,2020.0,1433.6,0,0
8136,14136,2021.0,0.0,0,0
8137,14137,2021.0,0.0,0,0
8138,14139,2021.0,0.0,0,0
8139,14138,2021.0,0.0,0,0
8140,13049,2021.0,0.0,0,0
8141,12951,2021.0,0.0,0,0
8142,10426,2020.0,864.0,0,0
8143,9632,2020.0,857.0,0,0
8144,10444,2020.0,864.0,0,0
8145,4838,2016.0,188.0,0,0
8146,6240,2017.0,137.0,0,0
8147,3478,2015.0,1832.96,0,0
8148,4803,2016.0,969.0,0,0
8149,5626,2017.0,1300.48,0,0
8150,-3629,0.0,0.0,0,0
8151,9153,2019.0,56.0,0,0
8152,5692,2017.0,181.0,0,0
8153,9277,2019.0,7290.88,0,0
8154,6484,2018.0,2478.08,0,0
8155,5380,2017.0,666.0,0,0
8156,5383,2017.0,666.0,0,0
8157,5458,2017.0,1361.92,0,0
8158,5226,2017.0,802.0,0,0
8159,5063,2017.0,803.0,0,0
8160,9324,2019.0,4546.56,0,0
8161,5106,2017.0,445.0,0,0
8162,6336,2017.0,667.0,0,0
8163,6335,2017.0,667.0,0,0
8164,7482,2018.0,20848.64,0,0
8165,6656,2018.0,965.0,0,0
8166,7280,2018.0,316.0,0,0
8167,7126,2018.0,315.0,0,0
8168,6055,2017.0,200.0,0,0
8169,5908,2017.0,201.0,0,0
8170,7379,2018.0,4843.52,0,0
8171,7393,2018.0,4843.52,0,0
8172,3505,2015.0,106.0,0,0
8173,3500,2015.0,106.0,0,0
8174,-4832,0.0,0.0,0,0
8175,5432,2017.0,516.0,0,0
8176,-5020,0.0,0.0,0,0
8177,13519,2021.0,0.0,0,0
8178,8450,2019.0,170.0,0,0
